Package Name,License,URL
@istanbuljs/load-nyc-config,ISC,https://npmjs.com/package/@istanbuljs/load-nyc-config
abab,BSD-3-Clause,https://npmjs.com/package/abab
babel-plugin-istanbul,BSD-3-Clause,https://npmjs.com/package/babel-plugin-istanbul
caniuse-lite,CC-BY-4.0,https://npmjs.com/package/caniuse-lite
cliui,ISC,https://npmjs.com/package/cliui
escodegen,BSD-2-Clause,https://npmjs.com/package/escodegen
eslint-scope,BSD-2-Clause,https://npmjs.com/package/eslint-scope
esprima,BSD-2-Clause,https://npmjs.com/package/esprima
esquery,BSD-3-Clause,https://npmjs.com/package/esquery
esrecurse,BSD-2-Clause,https://npmjs.com/package/esrecurse
estraverse,BSD-2-Clause,https://npmjs.com/package/estraverse
fs.realpath,ISC,https://npmjs.com/package/fs.realpath
get-caller-file,ISC,https://npmjs.com/package/get-caller-file
glob,ISC,https://npmjs.com/package/glob
glob-parent,ISC,https://npmjs.com/package/glob-parent
hosted-git-info,ISC,https://npmjs.com/package/hosted-git-info
inflight,ISC,https://npmjs.com/package/inflight
inherits,ISC,https://npmjs.com/package/inherits
isexe,ISC,https://npmjs.com/package/isexe
istanbul-lib-coverage,BSD-3-Clause,https://npmjs.com/package/istanbul-lib-coverage
istanbul-lib-instrument,BSD-3-Clause,https://npmjs.com/package/istanbul-lib-instrument
istanbul-lib-report,BSD-3-Clause,https://npmjs.com/package/istanbul-lib-report
istanbul-lib-source-maps,BSD-3-Clause,https://npmjs.com/package/istanbul-lib-source-maps
lru-cache,ISC,https://npmjs.com/package/lru-cache
makeerror,BSD-3-Clause,https://npmjs.com/package/makeerror
minimatch,ISC,https://npmjs.com/package/minimatch
normalize-package-data,BSD-2-Clause,https://npmjs.com/package/normalize-package-data
once,ISC,https://npmjs.com/package/once
picocolors,ISC,https://npmjs.com/package/picocolors
regjsparser,BSD-2-Clause,https://npmjs.com/package/regjsparser
require-main-filename,ISC,https://npmjs.com/package/require-main-filename
rimraf,ISC,https://npmjs.com/package/rimraf
semver,ISC,https://npmjs.com/package/semver
set-blocking,ISC,https://npmjs.com/package/set-blocking
signal-exit,ISC,https://npmjs.com/package/signal-exit
source-map,BSD-3-Clause,https://npmjs.com/package/source-map
sprintf-js,BSD-3-Clause AND BSD-3-Clause-Clear,https://npmjs.com/package/sprintf-js
table,BSD-3-Clause,https://npmjs.com/package/table
test-exclude,ISC,https://npmjs.com/package/test-exclude
tmpl,BSD-3-Clause,https://npmjs.com/package/tmpl
tough-cookie,BSD-3-Clause,https://npmjs.com/package/tough-cookie
tslib,0BSD,https://npmjs.com/package/tslib
which,ISC,https://npmjs.com/package/which
which-module,ISC,https://npmjs.com/package/which-module
wrappy,ISC,https://npmjs.com/package/wrappy
write-file-atomic,ISC,https://npmjs.com/package/write-file-atomic
y18n,ISC,https://npmjs.com/package/y18n
yallist,ISC,https://npmjs.com/package/yallist
yargs-parser,ISC,https://npmjs.com/package/yargs-parser
@sinonjs/commons,BSD-3-Clause,https://npmjs.com/package/@sinonjs/commons
anymatch,ISC,https://npmjs.com/package/anymatch
browser-process-hrtime,BSD-2-Clause,https://npmjs.com/package/browser-process-hrtime
esutils,BSD-2-Clause,https://npmjs.com/package/esutils
flatted,ISC,https://npmjs.com/package/flatted
graceful-fs,ISC,https://npmjs.com/package/graceful-fs
istanbul-reports,BSD-3-Clause,https://npmjs.com/package/istanbul-reports
saxes,ISC,https://npmjs.com/package/saxes
uri-js,BSD-2-Clause,https://npmjs.com/package/uri-js
webidl-conversions,BSD-2-Clause,https://npmjs.com/package/webidl-conversions
@sinonjs/fake-timers,BSD-3-Clause,https://npmjs.com/package/@sinonjs/fake-timers
bcrypt-pbkdf,BSD-3-Clause,https://npmjs.com/package/bcrypt-pbkdf
capture-exit,ISC,https://npmjs.com/package/capture-exit
remove-trailing-separator,ISC,https://npmjs.com/package/remove-trailing-separator
spdx-exceptions,CC-BY-3.0,https://npmjs.com/package/spdx-exceptions
tweetnacl,Unlicense,https://npmjs.com/package/tweetnacl
@humanwhocodes/object-schema,BSD-3-Clause,https://npmjs.com/package/@humanwhocodes/object-schema
espree,BSD-2-Clause,https://npmjs.com/package/espree
v8-to-istanbul,ISC,https://npmjs.com/package/v8-to-istanbul
@sentry/core,BSD-3-Clause,https://npmjs.com/package/@sentry/core
@sentry/hub,BSD-3-Clause,https://npmjs.com/package/@sentry/hub
@sentry/minimal,BSD-3-Clause,https://npmjs.com/package/@sentry/minimal
@sentry/node,BSD-3-Clause,https://npmjs.com/package/@sentry/node
@sentry/types,BSD-3-Clause,https://npmjs.com/package/@sentry/types
@sentry/utils,BSD-3-Clause,https://npmjs.com/package/@sentry/utils
spdx-license-ids,CC0-1.0,https://npmjs.com/package/spdx-license-ids
dotenv,BSD-2-Clause,https://npmjs.com/package/dotenv
eslint-plugin-promise,ISC,https://npmjs.com/package/eslint-plugin-promise
electron-to-chromium,ISC,https://npmjs.com/package/electron-to-chromium
scmp,BSD-3-Clause,https://npmjs.com/package/scmp
@karimsa/boa,none,https://npmjs.com/package/@karimsa/boa
best-effort-json-parser,BSD-2-Clause,https://npmjs.com/package/best-effort-json-parser
text-encoding-utf-8,Unlicense,https://npmjs.com/package/text-encoding-utf-8
@mergeapi/merge-node-client,none,https://npmjs.com/package/@mergeapi/merge-node-client
oauth-signature,BSD-3-Clause,https://npmjs.com/package/oauth-signature
json-stringify-safe,ISC,https://npmjs.com/package/json-stringify-safe
qs,BSD-3-Clause,https://npmjs.com/package/qs
ics,ISC,https://npmjs.com/package/ics
@microsoft/office-js,LICENSE,https://npmjs.com/package/@microsoft/office-js
pb-util,ISC,https://npmjs.com/package/pb-util
precss,CC0-1.0,https://npmjs.com/package/precss
yaml,ISC,https://npmjs.com/package/yaml
emoji-mart,BSD-3-Clause,https://npmjs.com/package/emoji-mart
d3-scale,BSD-3-Clause,https://npmjs.com/package/d3-scale
d3-selection,BSD-3-Clause,https://npmjs.com/package/d3-selection
d3-time-format,BSD-3-Clause,https://npmjs.com/package/d3-time-format
react-text-mask,Unlicense,https://npmjs.com/package/react-text-mask
d3-transition,BSD-3-Clause,https://npmjs.com/package/d3-transition
d3-shape,BSD-3-Clause,https://npmjs.com/package/d3-shape
d3-format,BSD-3-Clause,https://npmjs.com/package/d3-format
d3-array,BSD-3-Clause,https://npmjs.com/package/d3-array
react-mentions,BSD-3-Clause,https://npmjs.com/package/react-mentions
d3-axis,BSD-3-Clause,https://npmjs.com/package/d3-axis
chronokinesis,BSD-3-Clause,https://npmjs.com/package/chronokinesis
openpgp,LGPL-3.0+,https://npmjs.com/package/openpgp
@apollo/gateway,Elastic-2.0,https://npmjs.com/package/@apollo/gateway
https,ISC,https://npmjs.com/package/https
serialize-javascript,BSD-3-Clause,https://npmjs.com/package/serialize-javascript
@typescript-eslint/parser,BSD-2-Clause,https://npmjs.com/package/@typescript-eslint/parser
@base2/pretty-print-object,BSD-2-Clause,https://npmjs.com/package/@base2/pretty-print-object
@csstools/sass-import-resolve,CC0-1.0,https://npmjs.com/package/@csstools/sass-import-resolve
@isaacs/cliui,ISC,https://npmjs.com/package/@isaacs/cliui
@sideway/address,BSD-3-Clause,https://npmjs.com/package/@sideway/address
@sideway/formula,BSD-3-Clause,https://npmjs.com/package/@sideway/formula
@sideway/pinpoint,BSD-3-Clause,https://npmjs.com/package/@sideway/pinpoint
@typescript-eslint/typescript-estree,BSD-2-Clause,https://npmjs.com/package/@typescript-eslint/typescript-estree
@xtuc/ieee754,BSD-3-Clause,https://npmjs.com/package/@xtuc/ieee754
abbrev,ISC,https://npmjs.com/package/abbrev
