Package Name,License,URL
github.com/golang/protobuf,BSD-3-Clause license,github.com/golang/protobuf
google.golang.org/protobuf,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,google.golang.org/protobuf
github.com/golang/snappy,BSD-3-Clause license,github.com/golang/snappy
github.com/google/uuid,LICENSE NOT FOUND,github.com/google/uuid
github.com/klauspost/compress,LICENSE NOT FOUND,github.com/klauspost/compress
github.com/pierrec/lz4/v4,LICENSE FETCH ERROR,github.com/pierrec/lz4/v4
cloud.google.com/go/compute/metadata,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,cloud.google.com/go/compute/metadata
github.com/googleapis/gax-go/v2,LICENSE FETCH ERROR,github.com/googleapis/gax-go/v2
go.opencensus.io,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,go.opencensus.io
golang.org/x/sync,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,golang.org/x/sync
golang.org/x/xerrors,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,golang.org/x/xerrors
google.golang.org/genproto/googleapis/rpc,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,google.golang.org/genproto/googleapis/rpc
google.golang.org/appengine,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,google.golang.org/appengine
github.com/zeebo/xxh3,BSD-2-Clause license,github.com/zeebo/xxh3
github.com/google/go-cmp,BSD-3-Clause license,github.com/google/go-cmp
google.golang.org/genproto,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,google.golang.org/genproto
google.golang.org/genproto/googleapis/api,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,google.golang.org/genproto/googleapis/api
golang.org/x/oauth2,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,golang.org/x/oauth2
golang.org/x/net,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,golang.org/x/net
golang.org/x/crypto,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,golang.org/x/crypto
golang.org/x/sys,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,golang.org/x/sys
golang.org/x/text,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,golang.org/x/text
github.com/klauspost/cpuid/v2,LICENSE FETCH ERROR,github.com/klauspost/cpuid/v2
golang.org/x/tools,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,golang.org/x/tools
golang.org/x/mod,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,golang.org/x/mod
github.com/apache/arrow/go/v12,LICENSE FETCH ERROR,github.com/apache/arrow/go/v12
cloud.google.com/go/compute,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,cloud.google.com/go/compute
cloud.google.com/go/iam,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,cloud.google.com/go/iam
google.golang.org/api,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,google.golang.org/api
cloud.google.com/go,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,cloud.google.com/go
google.golang.org/grpc,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,google.golang.org/grpc
cloud.google.com/go/bigquery,CANNOT FETCH LICENSE FOR NON-GITHUB GO PACKAGES,cloud.google.com/go/bigquery
