Package Name,License,URL
dotenv,BSD-2-Clause,https://npmjs.com/package/dotenv
best-effort-json-parser,BSD-2-Clause,https://npmjs.com/package/best-effort-json-parser
text-encoding-utf-8,Unlicense,https://npmjs.com/package/text-encoding-utf-8
@mergeapi/merge-node-client,none,https://npmjs.com/package/@mergeapi/merge-node-client
oauth-signature,BSD-3-Clause,https://npmjs.com/package/oauth-signature
json-stringify-safe,ISC,https://npmjs.com/package/json-stringify-safe
qs,BSD-3-Clause,https://npmjs.com/package/qs
ics,ISC,https://npmjs.com/package/ics
@microsoft/office-js,LICENSE,https://npmjs.com/package/@microsoft/office-js
glob,ISC,https://npmjs.com/package/glob
pb-util,ISC,https://npmjs.com/package/pb-util
precss,CC0-1.0,https://npmjs.com/package/precss
yaml,ISC,https://npmjs.com/package/yaml
emoji-mart,BSD-3-Clause,https://npmjs.com/package/emoji-mart
d3-scale,BSD-3-Clause,https://npmjs.com/package/d3-scale
d3-selection,BSD-3-Clause,https://npmjs.com/package/d3-selection
d3-time-format,BSD-3-Clause,https://npmjs.com/package/d3-time-format
react-text-mask,Unlicense,https://npmjs.com/package/react-text-mask
d3-transition,BSD-3-Clause,https://npmjs.com/package/d3-transition
d3-shape,BSD-3-Clause,https://npmjs.com/package/d3-shape
d3-format,BSD-3-Clause,https://npmjs.com/package/d3-format
d3-array,BSD-3-Clause,https://npmjs.com/package/d3-array
react-mentions,BSD-3-Clause,https://npmjs.com/package/react-mentions
d3-axis,BSD-3-Clause,https://npmjs.com/package/d3-axis
chronokinesis,BSD-3-Clause,https://npmjs.com/package/chronokinesis
openpgp,LGPL-3.0+,https://npmjs.com/package/openpgp
@apollo/gateway,Elastic-2.0,https://npmjs.com/package/@apollo/gateway
https,ISC,https://npmjs.com/package/https
serialize-javascript,BSD-3-Clause,https://npmjs.com/package/serialize-javascript
@typescript-eslint/parser,BSD-2-Clause,https://npmjs.com/package/@typescript-eslint/parser
@base2/pretty-print-object,BSD-2-Clause,https://npmjs.com/package/@base2/pretty-print-object
@csstools/sass-import-resolve,CC0-1.0,https://npmjs.com/package/@csstools/sass-import-resolve
@isaacs/cliui,ISC,https://npmjs.com/package/@isaacs/cliui
@sideway/address,BSD-3-Clause,https://npmjs.com/package/@sideway/address
@sideway/formula,BSD-3-Clause,https://npmjs.com/package/@sideway/formula
@sideway/pinpoint,BSD-3-Clause,https://npmjs.com/package/@sideway/pinpoint
@typescript-eslint/typescript-estree,BSD-2-Clause,https://npmjs.com/package/@typescript-eslint/typescript-estree
@xtuc/ieee754,BSD-3-Clause,https://npmjs.com/package/@xtuc/ieee754
abab,BSD-3-Clause,https://npmjs.com/package/abab
abbrev,ISC,https://npmjs.com/package/abbrev
argparse,Python-2.0,https://npmjs.com/package/argparse
babel-plugin-istanbul,BSD-3-Clause,https://npmjs.com/package/babel-plugin-istanbul
big-integer,Unlicense,https://npmjs.com/package/big-integer
boolbase,ISC,https://npmjs.com/package/boolbase
buffer-equal-constant-time,BSD-3-Clause,https://npmjs.com/package/buffer-equal-constant-time
c8,ISC,https://npmjs.com/package/c8
chownr,ISC,https://npmjs.com/package/chownr
chownr,ISC,https://npmjs.com/package/chownr
cli-width,ISC,https://npmjs.com/package/cli-width
cliui,ISC,https://npmjs.com/package/cliui
cliui,ISC,https://npmjs.com/package/cliui
common-path-prefix,ISC,https://npmjs.com/package/common-path-prefix
css-color-keywords,ISC,https://npmjs.com/package/css-color-keywords
css-select,BSD-2-Clause,https://npmjs.com/package/css-select
css-what,BSD-2-Clause,https://npmjs.com/package/css-what
d3-axis,BSD-3-Clause,https://npmjs.com/package/d3-axis
d3-ease,BSD-3-Clause,https://npmjs.com/package/d3-ease
d3-format,BSD-3-Clause,https://npmjs.com/package/d3-format
d3-shape,BSD-3-Clause,https://npmjs.com/package/d3-shape
d3-time,BSD-3-Clause,https://npmjs.com/package/d3-time
