Package Name,License,URL
dotenv,BSD-2-Clause,https://npmjs.com/package/dotenv
dayjs,MIT,https://npmjs.com/package/dayjs
elastic-ts,MIT,https://npmjs.com/package/elastic-ts
ts-is-present,MIT,https://npmjs.com/package/ts-is-present
@types/uuid,MIT,https://npmjs.com/package/@types/uuid
lodash,MIT,https://npmjs.com/package/lodash
uuid,MIT,https://npmjs.com/package/uuid
express,MIT,https://npmjs.com/package/express
axios,MIT,https://npmjs.com/package/axios
ts-node,MIT,https://npmjs.com/package/ts-node
yup,MIT,https://npmjs.com/package/yup
camelcase,MIT,https://npmjs.com/package/camelcase
typeorm,MIT,https://npmjs.com/package/typeorm
@types/lodash.xor,MIT,https://npmjs.com/package/@types/lodash.xor
typeorm-seeding,MIT,https://npmjs.com/package/typeorm-seeding
exponential-backoff,Apache-2.0,https://npmjs.com/package/exponential-backoff
moment-timezone,MIT,https://npmjs.com/package/moment-timezone
dataloader,MIT,https://npmjs.com/package/dataloader
lodash.merge,MIT,https://npmjs.com/package/lodash.merge
lodash.isequal,MIT,https://npmjs.com/package/lodash.isequal
lodash.sortby,MIT,https://npmjs.com/package/lodash.sortby
@types/lodash.sortby,MIT,https://npmjs.com/package/@types/lodash.sortby
body-parser,MIT,https://npmjs.com/package/body-parser
http-status-codes,MIT,https://npmjs.com/package/http-status-codes
json5,MIT,https://npmjs.com/package/json5
@langchain/google-vertexai,MIT,https://npmjs.com/package/@langchain/google-vertexai
langchain,MIT,https://npmjs.com/package/langchain
@langchain/core,MIT,https://npmjs.com/package/@langchain/core
best-effort-json-parser,BSD-2-Clause,https://npmjs.com/package/best-effort-json-parser
lodash.get,MIT,https://npmjs.com/package/lodash.get
deep-object-diff,MIT,https://npmjs.com/package/deep-object-diff
lodash.xor,MIT,https://npmjs.com/package/lodash.xor
prompt,MIT,https://npmjs.com/package/prompt
neat-csv,MIT,https://npmjs.com/package/neat-csv
@types/prompt,MIT,https://npmjs.com/package/@types/prompt
deep-object-diff,MIT,https://npmjs.com/package/deep-object-diff
lodash.orderby,MIT,https://npmjs.com/package/lodash.orderby
text-encoding-utf-8,Unlicense,https://npmjs.com/package/text-encoding-utf-8
csv-parser,MIT,https://npmjs.com/package/csv-parser
mockdate,MIT,https://npmjs.com/package/mockdate
@mergeapi/merge-node-client,none,https://npmjs.com/package/@mergeapi/merge-node-client
wink-nlp-utils,MIT,https://npmjs.com/package/wink-nlp-utils
googleapis,Apache-2.0,https://npmjs.com/package/googleapis
jsonwebtoken,MIT,https://npmjs.com/package/jsonwebtoken
mustache,MIT,https://npmjs.com/package/mustache
cookie-parser,MIT,https://npmjs.com/package/cookie-parser
@slack/web-api,MIT,https://npmjs.com/package/@slack/web-api
oauth-signature,BSD-3-Clause,https://npmjs.com/package/oauth-signature
@types/mustache,MIT,https://npmjs.com/package/@types/mustache
express-openid-connect,MIT,https://npmjs.com/package/express-openid-connect
base62str,MIT,https://npmjs.com/package/base62str
csv-parse,MIT,https://npmjs.com/package/csv-parse
@slack/bolt,MIT,https://npmjs.com/package/@slack/bolt
@slack/oauth,MIT,https://npmjs.com/package/@slack/oauth
botbuilder,MIT,https://npmjs.com/package/botbuilder
json-stringify-safe,ISC,https://npmjs.com/package/json-stringify-safe
@types/prompt,MIT,https://npmjs.com/package/@types/prompt
qs,BSD-3-Clause,https://npmjs.com/package/qs
chroma-js,Apache-2.0 AND BSD-3-Clause,https://npmjs.com/package/chroma-js
deep-object-diff,MIT,https://npmjs.com/package/deep-object-diff
ics,ISC,https://npmjs.com/package/ics
react,MIT,https://npmjs.com/package/react
react-dom,MIT,https://npmjs.com/package/react-dom
@mergeapi/react-merge-link,MIT,https://npmjs.com/package/@mergeapi/react-merge-link
react-dropzone,MIT,https://npmjs.com/package/react-dropzone
i18next,MIT,https://npmjs.com/package/i18next
lodash.debounce,MIT,https://npmjs.com/package/lodash.debounce
react-i18next,MIT,https://npmjs.com/package/react-i18next
classnames,MIT,https://npmjs.com/package/classnames
lodash.clonedeep,MIT,https://npmjs.com/package/lodash.clonedeep
@types/lodash.isequal,MIT,https://npmjs.com/package/@types/lodash.isequal
lodash.camelcase,MIT,https://npmjs.com/package/lodash.camelcase
iframe-resizer-react,MIT,https://npmjs.com/package/iframe-resizer-react
@types/lodash.merge,MIT,https://npmjs.com/package/@types/lodash.merge
object-hash,MIT,https://npmjs.com/package/object-hash
@types/object-hash,MIT,https://npmjs.com/package/@types/object-hash
lodash.throttle,MIT,https://npmjs.com/package/lodash.throttle
@types/react-lazyload,MIT,https://npmjs.com/package/@types/react-lazyload
@types/lodash.orderby,MIT,https://npmjs.com/package/@types/lodash.orderby
@types/lodash.throttle,MIT,https://npmjs.com/package/@types/lodash.throttle
lodash.unescape,MIT,https://npmjs.com/package/lodash.unescape
@types/lodash.debounce,MIT,https://npmjs.com/package/@types/lodash.debounce
@types/lodash.camelcase,MIT,https://npmjs.com/package/@types/lodash.camelcase
lodash.pick,MIT,https://npmjs.com/package/lodash.pick
history,MIT,https://npmjs.com/package/history
lodash.omit,MIT,https://npmjs.com/package/lodash.omit
react-map-interaction,MIT,https://npmjs.com/package/react-map-interaction
lodash.pick,MIT,https://npmjs.com/package/lodash.pick
react-intersection-observer,MIT,https://npmjs.com/package/react-intersection-observer
@types/chroma-js,MIT,https://npmjs.com/package/@types/chroma-js
handlebars,MIT,https://npmjs.com/package/handlebars
class-validator,MIT,https://npmjs.com/package/class-validator
@microsoft/office-js,LICENSE,https://npmjs.com/package/@microsoft/office-js
@types/office-js,MIT,https://npmjs.com/package/@types/office-js
@microsoft/teams-js,MIT,https://npmjs.com/package/@microsoft/teams-js
lodash.difference,MIT,https://npmjs.com/package/lodash.difference
@types/lodash.unionby,MIT,https://npmjs.com/package/@types/lodash.unionby
lodash.unionby,MIT,https://npmjs.com/package/lodash.unionby
typedi,MIT,https://npmjs.com/package/typedi
kill-port,MIT,https://npmjs.com/package/kill-port
@types/kill-port,MIT,https://npmjs.com/package/@types/kill-port
glob,ISC,https://npmjs.com/package/glob
cors,MIT,https://npmjs.com/package/cors
@types/express,MIT,https://npmjs.com/package/@types/express
@types/jsonwebtoken,MIT,https://npmjs.com/package/@types/jsonwebtoken
@types/cors,MIT,https://npmjs.com/package/@types/cors
@types/jest-when,MIT,https://npmjs.com/package/@types/jest-when
@types/qs,MIT,https://npmjs.com/package/@types/qs
oidc-provider,MIT,https://npmjs.com/package/oidc-provider
@types/openpgp,MIT,https://npmjs.com/package/@types/openpgp
@google-cloud/storage,Apache-2.0,https://npmjs.com/package/@google-cloud/storage
@google-cloud/bigquery,Apache-2.0,https://npmjs.com/package/@google-cloud/bigquery
pb-util,ISC,https://npmjs.com/package/pb-util
@google-cloud/bigquery-data-transfer,Apache-2.0,https://npmjs.com/package/@google-cloud/bigquery-data-transfer
nodemon,MIT,https://npmjs.com/package/nodemon
mkdirp,MIT,https://npmjs.com/package/mkdirp
@babel/plugin-transform-runtime,MIT,https://npmjs.com/package/@babel/plugin-transform-runtime
@babel/preset-react,MIT,https://npmjs.com/package/@babel/preset-react
postcss-import,MIT,https://npmjs.com/package/postcss-import
postcss-simple-vars,MIT,https://npmjs.com/package/postcss-simple-vars
@babel/polyfill,MIT,https://npmjs.com/package/@babel/polyfill
@babel/runtime,MIT,https://npmjs.com/package/@babel/runtime
@babel/plugin-proposal-class-properties,MIT,https://npmjs.com/package/@babel/plugin-proposal-class-properties
