Package Name,License,URL
qs,BSD-3-Clause,https://npmjs.com/package/qs
eslint-import-resolver-typescript,ISC,https://npmjs.com/package/eslint-import-resolver-typescript
glob,ISC,https://npmjs.com/package/glob
rimraf,ISC,https://npmjs.com/package/rimraf
@lokalise/node-api,BSD-3-Clause,https://npmjs.com/package/@lokalise/node-api
dom-parser,ISC,https://npmjs.com/package/dom-parser
dotenv-expand,BSD-2-Clause,https://npmjs.com/package/dotenv-expand
dotenv,BSD-2-Clause,https://npmjs.com/package/dotenv
best-effort-json-parser,BSD-2-Clause,https://npmjs.com/package/best-effort-json-parser
@typescript-eslint/parser,BSD-2-Clause,https://npmjs.com/package/@typescript-eslint/parser
dotenv,BSD-2-Clause,https://npmjs.com/package/dotenv
quill,BSD-3-Clause,https://npmjs.com/package/quill
turbo,MPL-2.0,https://npmjs.com/package/turbo
qs,BSD-3-Clause,https://npmjs.com/package/qs
conventional-changelog-conventionalcommits,ISC,https://npmjs.com/package/conventional-changelog-conventionalcommits
conventional-changelog-conventionalcommits,ISC,https://npmjs.com/package/conventional-changelog-conventionalcommits
conventional-changelog-conventionalcommits,ISC,https://npmjs.com/package/conventional-changelog-conventionalcommits
eslint-config-turbo,MPL-2.0,https://npmjs.com/package/eslint-config-turbo
@isaacs/cliui,ISC,https://npmjs.com/package/@isaacs/cliui
@istanbuljs/load-nyc-config,ISC,https://npmjs.com/package/@istanbuljs/load-nyc-config
@sinonjs/commons,BSD-3-Clause,https://npmjs.com/package/@sinonjs/commons
@ungap/structured-clone,ISC,https://npmjs.com/package/@ungap/structured-clone
@xtuc/ieee754,BSD-3-Clause,https://npmjs.com/package/@xtuc/ieee754
abab,BSD-3-Clause,https://npmjs.com/package/abab
abbrev,ISC,https://npmjs.com/package/abbrev
argparse,Python-2.0,https://npmjs.com/package/argparse
ast-types-flow,ISC,https://npmjs.com/package/ast-types-flow
b4a,ISC,https://npmjs.com/package/b4a
babel-plugin-istanbul,BSD-3-Clause,https://npmjs.com/package/babel-plugin-istanbul
boolbase,ISC,https://npmjs.com/package/boolbase
buffer-equal-constant-time,BSD-3-Clause,https://npmjs.com/package/buffer-equal-constant-time
chownr,ISC,https://npmjs.com/package/chownr
chownr,ISC,https://npmjs.com/package/chownr
cli-width,ISC,https://npmjs.com/package/cli-width
