Package Name,License,URL
byebug,BSD-2-Clause,https://rubygems.org/gems/byebug
dogapi,BSD-3-Clause,https://rubygems.org/gems/dogapi
httpclient,Ruby,https://rubygems.org/gems/httpclient
matrix,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/matrix
net-pop,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/net-pop
promise.rb,Unlicense,https://rubygems.org/gems/promise.rb
ruby2_keywords,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/ruby2_keywords
rubyzip,BSD-2-Clause OR Ruby,https://rubygems.org/gems/rubyzip
webrick,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/webrick
date,Ruby OR BSD-2-Clause,https://rubygems.org/gems/date
ffi,BSD-3-Clause,https://rubygems.org/gems/ffi
net-protocol,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/net-protocol
timeout,Ruby OR BSD-2-Clause,https://rubygems.org/gems/timeout
base64,Ruby OR BSD-2-Clause,https://rubygems.org/gems/base64
kgio,LGPL-2.1+ AND LGPL-2.1-only AND LGPL-3.0 AND LGPL-3.0-only AND LGPL-3.0-or-later,https://rubygems.org/gems/kgio
libddwaf,BSD-3-Clause,https://rubygems.org/gems/libddwaf
unicorn,"GPL-2.0+, Ruby-1.8",https://rubygems.org/gems/unicorn
raindrops,LGPL-2.1+ AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only,https://rubygems.org/gems/raindrops
sync,BSD-2-Clause,https://rubygems.org/gems/sync
xmlrpc,BSD-2-Clause OR Ruby OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/xmlrpc
carmen,N/A,https://rubygems.org/gems/carmen
thread,WTFPL,https://rubygems.org/gems/thread
json,Ruby OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/json
i18n_tools,N/A,https://rubygems.org/gems/i18n_tools
mongoid-grid_fs,Ruby,https://rubygems.org/gems/mongoid-grid_fs
graphql-pro,LICENSE NOT FOUND,https://rubygems.org/gems/graphql-pro
tracking_link,N/A,https://rubygems.org/gems/tracking_link
catalan,LICENSE FETCH ERROR,https://rubygems.org/gems/catalan
apipie-rails,N/A,https://rubygems.org/gems/apipie-rails
net-smtp,Ruby OR BSD-2-Clause,https://rubygems.org/gems/net-smtp
ruby-prof,BSD-2-Clause,https://rubygems.org/gems/ruby-prof
puma,BSD-3-Clause,https://rubygems.org/gems/puma
domain_name,BSD-2-Clause OR (BSD-3-Clause OR MPL-2.0),https://rubygems.org/gems/domain_name
image_size,Ruby,https://rubygems.org/gems/image_size
highline,GPL-2.0 AND Ruby,https://rubygems.org/gems/highline
net-imap,Ruby OR BSD-2-Clause,https://rubygems.org/gems/net-imap
gpgme,LGPL-2.1+,https://rubygems.org/gems/gpgme
google-protobuf,BSD-3-Clause,https://rubygems.org/gems/google-protobuf
bigdecimal,BSD-2-Clause OR Ruby OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/bigdecimal
ttfunk,"Nonstandard, GPL-2.0-only, GPL-3.0-only",https://rubygems.org/gems/ttfunk
pdf-core,"Nonstandard, GPL-2.0-only, GPL-3.0-only",https://rubygems.org/gems/pdf-core
pg,BSD-2-Clause,https://rubygems.org/gems/pg
prawn,"Nonstandard, GPL-2.0-only, GPL-3.0-only",https://rubygems.org/gems/prawn
datadog-ci,BSD-3-Clause,https://rubygems.org/gems/datadog-ci
racc,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/racc
rexml,BSD-2-Clause,https://rubygems.org/gems/rexml
ast-types-flow,ISC,https://npmjs.com/package/ast-types-flow
boolbase,ISC,https://npmjs.com/package/boolbase
chownr,ISC,https://npmjs.com/package/chownr
cliui,ISC,https://npmjs.com/package/cliui
d3-path,BSD-3-Clause,https://npmjs.com/package/d3-path
esprima,BSD-2-Clause,https://npmjs.com/package/esprima
estraverse,BSD-2-Clause,https://npmjs.com/package/estraverse
fs-minipass,ISC,https://npmjs.com/package/fs-minipass
fs.realpath,ISC,https://npmjs.com/package/fs.realpath
get-caller-file,ISC,https://npmjs.com/package/get-caller-file
glob,ISC,https://npmjs.com/package/glob
glob,ISC,https://npmjs.com/package/glob
hosted-git-info,ISC,https://npmjs.com/package/hosted-git-info
inflight,ISC,https://npmjs.com/package/inflight
inherits,ISC,https://npmjs.com/package/inherits
inherits,ISC,https://npmjs.com/package/inherits
isexe,ISC,https://npmjs.com/package/isexe
lru-cache,ISC,https://npmjs.com/package/lru-cache
lru-cache,ISC,https://npmjs.com/package/lru-cache
minimatch,ISC,https://npmjs.com/package/minimatch
minimatch,ISC,https://npmjs.com/package/minimatch
minipass,ISC,https://npmjs.com/package/minipass
minipass,ISC,https://npmjs.com/package/minipass
normalize-package-data,BSD-2-Clause,https://npmjs.com/package/normalize-package-data
normalize-package-data,BSD-2-Clause,https://npmjs.com/package/normalize-package-data
once,ISC,https://npmjs.com/package/once
railroad-diagrams,CC0-1.0,https://npmjs.com/package/railroad-diagrams
rimraf,ISC,https://npmjs.com/package/rimraf
rimraf,ISC,https://npmjs.com/package/rimraf
sax,ISC,https://npmjs.com/package/sax
set-blocking,ISC,https://npmjs.com/package/set-blocking
setprototypeof,ISC,https://npmjs.com/package/setprototypeof
signal-exit,ISC,https://npmjs.com/package/signal-exit
source-map,BSD-3-Clause,https://npmjs.com/package/source-map
source-map,BSD-3-Clause,https://npmjs.com/package/source-map
spdx-license-ids,Unlicense,https://npmjs.com/package/spdx-license-ids
sprintf-js,BSD-3-Clause AND BSD-3-Clause-Clear,https://npmjs.com/package/sprintf-js
string-hash,CC0-1.0,https://npmjs.com/package/string-hash
uri-js,BSD-2-Clause,https://npmjs.com/package/uri-js
which,ISC,https://npmjs.com/package/which
which,ISC,https://npmjs.com/package/which
wrappy,ISC,https://npmjs.com/package/wrappy
write-file-atomic,ISC,https://npmjs.com/package/write-file-atomic
y18n,ISC,https://npmjs.com/package/y18n
yallist,ISC,https://npmjs.com/package/yallist
yargs-parser,ISC,https://npmjs.com/package/yargs-parser
yargs-parser,ISC,https://npmjs.com/package/yargs-parser
esutils,BSD-2-Clause,https://npmjs.com/package/esutils
graceful-fs,ISC,https://npmjs.com/package/graceful-fs
webidl-conversions,BSD-2-Clause,https://npmjs.com/package/webidl-conversions
@npmcli/fs,ISC,https://npmjs.com/package/@npmcli/fs
anymatch,ISC,https://npmjs.com/package/anymatch
aproba,ISC,https://npmjs.com/package/aproba
aproba,ISC,https://npmjs.com/package/aproba
are-we-there-yet,ISC,https://npmjs.com/package/are-we-there-yet
bcrypt-pbkdf,BSD-3-Clause,https://npmjs.com/package/bcrypt-pbkdf
cacache,ISC,https://npmjs.com/package/cacache
color-support,ISC,https://npmjs.com/package/color-support
console-control-strings,ISC,https://npmjs.com/package/console-control-strings
esprima,BSD-2-Clause,https://npmjs.com/package/esprima
gauge,ISC,https://npmjs.com/package/gauge
gauge,ISC,https://npmjs.com/package/gauge
har-schema,ISC,https://npmjs.com/package/har-schema
has-unicode,ISC,https://npmjs.com/package/has-unicode
http-cache-semantics,BSD-2-Clause,https://npmjs.com/package/http-cache-semantics
infer-owner,ISC,https://npmjs.com/package/infer-owner
json-schema,AFL-2.1 OR BSD-3-Clause,https://npmjs.com/package/json-schema
json-stringify-safe,ISC,https://npmjs.com/package/json-stringify-safe
lru-cache,ISC,https://npmjs.com/package/lru-cache
make-fetch-happen,ISC,https://npmjs.com/package/make-fetch-happen
makeerror,BSD-3-Clause,https://npmjs.com/package/makeerror
minimatch,ISC,https://npmjs.com/package/minimatch
minipass-collect,ISC,https://npmjs.com/package/minipass-collect
minipass-flush,ISC,https://npmjs.com/package/minipass-flush
minipass-pipeline,ISC,https://npmjs.com/package/minipass-pipeline
minipass-sized,ISC,https://npmjs.com/package/minipass-sized
nopt,ISC,https://npmjs.com/package/nopt
npmlog,ISC,https://npmjs.com/package/npmlog
npmlog,ISC,https://npmjs.com/package/npmlog
osenv,ISC,https://npmjs.com/package/osenv
promise-inflight,ISC,https://npmjs.com/package/promise-inflight
pseudomap,ISC,https://npmjs.com/package/pseudomap
qs,BSD-3-Clause,https://npmjs.com/package/qs
remove-trailing-separator,ISC,https://npmjs.com/package/remove-trailing-separator
source-map,BSD-3-Clause,https://npmjs.com/package/source-map
source-map,BSD-3-Clause,https://npmjs.com/package/source-map
ssri,ISC,https://npmjs.com/package/ssri
stealthy-require,ISC,https://npmjs.com/package/stealthy-require
tmpl,BSD-3-Clause,https://npmjs.com/package/tmpl
tough-cookie,BSD-3-Clause,https://npmjs.com/package/tough-cookie
tweetnacl,Unlicense,https://npmjs.com/package/tweetnacl
unique-filename,ISC,https://npmjs.com/package/unique-filename
which-module,ISC,https://npmjs.com/package/which-module
wide-align,ISC,https://npmjs.com/package/wide-align
yallist,ISC,https://npmjs.com/package/yallist
sax,ISC,https://npmjs.com/package/sax
glob,ISC,https://npmjs.com/package/glob
cliui,ISC,https://npmjs.com/package/cliui
uglify-js,BSD-2-Clause,https://npmjs.com/package/uglify-js
copy-concurrently,ISC,https://npmjs.com/package/copy-concurrently
fs-write-stream-atomic,ISC,https://npmjs.com/package/fs-write-stream-atomic
move-concurrently,ISC,https://npmjs.com/package/move-concurrently
run-queue,ISC,https://npmjs.com/package/run-queue
sprintf-js,BSD-3-Clause,https://npmjs.com/package/sprintf-js
fstream,ISC,https://npmjs.com/package/fstream
js-base64,BSD-3-Clause,https://npmjs.com/package/js-base64
uglify-js,BSD-2-Clause,https://npmjs.com/package/uglify-js
charenc,BSD-3-Clause,https://npmjs.com/package/charenc
crypt,BSD-3-Clause,https://npmjs.com/package/crypt
@npmcli/fs,ISC,https://npmjs.com/package/@npmcli/fs
make-fetch-happen,ISC,https://npmjs.com/package/make-fetch-happen
ssri,ISC,https://npmjs.com/package/ssri
diff,BSD-3-Clause,https://npmjs.com/package/diff
glob,ISC,https://npmjs.com/package/glob
cliui,ISC,https://npmjs.com/package/cliui
mute-stream,ISC,https://npmjs.com/package/mute-stream
require-main-filename,ISC,https://npmjs.com/package/require-main-filename
rst-selector-parser,BSD-3-Clause,https://npmjs.com/package/rst-selector-parser
warning,BSD-3-Clause,https://npmjs.com/package/warning
which-module,ISC,https://npmjs.com/package/which-module
yargs-parser,ISC,https://npmjs.com/package/yargs-parser
md5,BSD-3-Clause,https://npmjs.com/package/md5
uglify-es,BSD-2-Clause,https://npmjs.com/package/uglify-es
cacache,ISC,https://npmjs.com/package/cacache
unique-filename,ISC,https://npmjs.com/package/unique-filename
unique-slug,ISC,https://npmjs.com/package/unique-slug
boom,BSD-3-Clause,https://npmjs.com/package/boom
cryptiles,BSD-3-Clause,https://npmjs.com/package/cryptiles
har-validator,ISC,https://npmjs.com/package/har-validator
hawk,BSD-3-Clause,https://npmjs.com/package/hawk
hoek,BSD-3-Clause,https://npmjs.com/package/hoek
sntp,BSD-3-Clause,https://npmjs.com/package/sntp
inherits,ISC,https://npmjs.com/package/inherits
material-colors,ISC,https://npmjs.com/package/material-colors
concat-with-sourcemaps,ISC,https://npmjs.com/package/concat-with-sourcemaps
icss-replace-symbols,ISC,https://npmjs.com/package/icss-replace-symbols
dotenv,BSD-2-Clause,https://npmjs.com/package/dotenv
css-select,BSD-2-Clause,https://npmjs.com/package/css-select
domutils,BSD-2-Clause,https://npmjs.com/package/domutils
ini,ISC,https://npmjs.com/package/ini
sigmund,ISC,https://npmjs.com/package/sigmund
y18n,ISC,https://npmjs.com/package/y18n
signal-exit,ISC,https://npmjs.com/package/signal-exit
yaml,ISC,https://npmjs.com/package/yaml
once,ISC,https://npmjs.com/package/once
block-stream,BSD-2-Clause AND ISC,https://npmjs.com/package/block-stream
es6-denodeify,Unlicense,https://npmjs.com/package/es6-denodeify
fetch-cookie,Unlicense,https://npmjs.com/package/fetch-cookie
hoist-non-react-statics,BSD-3-Clause,https://npmjs.com/package/hoist-non-react-statics
minimatch,ISC,https://npmjs.com/package/minimatch
nopt,ISC,https://npmjs.com/package/nopt
semver,ISC,https://npmjs.com/package/semver
tar,ISC,https://npmjs.com/package/tar
browserify-sign,ISC,https://npmjs.com/package/browserify-sign
cacache,ISC,https://npmjs.com/package/cacache
cli-width,ISC,https://npmjs.com/package/cli-width
cliui,ISC,https://npmjs.com/package/cliui
esprima,BSD-2-Clause,https://npmjs.com/package/esprima
icss-utils,ISC,https://npmjs.com/package/icss-utils
mississippi,BSD-2-Clause,https://npmjs.com/package/mississippi
node-pre-gyp,BSD-3-Clause,https://npmjs.com/package/node-pre-gyp
nopt,ISC,https://npmjs.com/package/nopt
npm-bundled,ISC,https://npmjs.com/package/npm-bundled
postcss-modules-scope,ISC,https://npmjs.com/package/postcss-modules-scope
postcss-modules-values,ISC,https://npmjs.com/package/postcss-modules-values
regjsparser,BSD-2-Clause,https://npmjs.com/package/regjsparser
ssri,ISC,https://npmjs.com/package/ssri
table,BSD-3-Clause,https://npmjs.com/package/table
tough-cookie,BSD-3-Clause,https://npmjs.com/package/tough-cookie
y18n,ISC,https://npmjs.com/package/y18n
abbrev,ISC,https://npmjs.com/package/abbrev
chownr,ISC,https://npmjs.com/package/chownr
fstream-ignore,ISC,https://npmjs.com/package/fstream-ignore
hoist-non-react-statics,BSD-3-Clause,https://npmjs.com/package/hoist-non-react-statics
lru-cache,ISC,https://npmjs.com/package/lru-cache
rimraf,ISC,https://npmjs.com/package/rimraf
semver,ISC,https://npmjs.com/package/semver
uid-number,ISC,https://npmjs.com/package/uid-number
esprima,BSD-2-Clause,https://npmjs.com/package/esprima
glob,ISC,https://npmjs.com/package/glob
glob,BSD-2-Clause,https://npmjs.com/package/glob
glob,BSD-2-Clause,https://npmjs.com/package/glob
graceful-fs,BSD-2-Clause,https://npmjs.com/package/graceful-fs
inherits,ISC,https://npmjs.com/package/inherits
semver,ISC,https://npmjs.com/package/semver
which,ISC,https://npmjs.com/package/which
glob,ISC,https://npmjs.com/package/glob
ignore-walk,ISC,https://npmjs.com/package/ignore-walk
jsonify,N/A,https://npmjs.com/package/jsonify
rimraf,ISC,https://npmjs.com/package/rimraf
minipass,ISC,https://npmjs.com/package/minipass
yallist,ISC,https://npmjs.com/package/yallist
domhandler,BSD-2-Clause,https://npmjs.com/package/domhandler
exenv,BSD-3-Clause,https://npmjs.com/package/exenv
hoist-non-react-statics,BSD-3-Clause,https://npmjs.com/package/hoist-non-react-statics
duplexer2,BSD-3-Clause,https://npmjs.com/package/duplexer2
react-transition-group,BSD-3-Clause,https://npmjs.com/package/react-transition-group
rimraf,ISC,https://npmjs.com/package/rimraf
qs,BSD-3-Clause,https://npmjs.com/package/qs
setprototypeof,ISC,https://npmjs.com/package/setprototypeof
ieee754,BSD-3-Clause,https://npmjs.com/package/ieee754
doctrine,BSD-2-Clause,https://npmjs.com/package/doctrine
