Package Name,License,URL
rubygems:byebug,BSD-2-Clause,https://rubygems.org/gems/rubygems:byebug
rubygems:rails-controller-testing,MIT,https://rubygems.org/gems/rubygems:rails-controller-testing
rubygems:ast,MIT,https://rubygems.org/gems/rubygems:ast
rubygems:cliver,MIT,https://rubygems.org/gems/rubygems:cliver
rubygems:coderay,MIT,https://rubygems.org/gems/rubygems:coderay
rubygems:crass,MIT,https://rubygems.org/gems/rubygems:crass
rubygems:declarative,MIT,https://rubygems.org/gems/rubygems:declarative
rubygems:dogapi,BSD-3-Clause,https://rubygems.org/gems/rubygems:dogapi
rubygems:faraday,MIT,https://rubygems.org/gems/rubygems:faraday
rubygems:hashie,MIT,https://rubygems.org/gems/rubygems:hashie
rubygems:http-accept,MIT,https://rubygems.org/gems/rubygems:http-accept
rubygems:http-cookie,MIT,https://rubygems.org/gems/rubygems:http-cookie
rubygems:httparty,MIT,https://rubygems.org/gems/rubygems:httparty
rubygems:httpclient,Ruby,https://rubygems.org/gems/rubygems:httpclient
rubygems:mail,MIT,https://rubygems.org/gems/rubygems:mail
rubygems:matrix,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/rubygems:matrix
rubygems:memoist,MIT,https://rubygems.org/gems/rubygems:memoist
rubygems:multi_json,MIT,https://rubygems.org/gems/rubygems:multi_json
rubygems:multi_xml,MIT,https://rubygems.org/gems/rubygems:multi_xml
rubygems:mustermann,MIT,https://rubygems.org/gems/rubygems:mustermann
rubygems:net-pop,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/rubygems:net-pop
rubygems:netrc,MIT,https://rubygems.org/gems/rubygems:netrc
rubygems:parslet,MIT,https://rubygems.org/gems/rubygems:parslet
rubygems:promise.rb,Unlicense,https://rubygems.org/gems/rubygems:promise.rb
rubygems:rails-dom-testing,MIT,https://rubygems.org/gems/rubygems:rails-dom-testing
rubygems:rails-html-sanitizer,MIT,https://rubygems.org/gems/rubygems:rails-html-sanitizer
rubygems:rainbow,MIT,https://rubygems.org/gems/rubygems:rainbow
rubygems:redcarpet,MIT,https://rubygems.org/gems/rubygems:redcarpet
rubygems:rest-client,MIT,https://rubygems.org/gems/rubygems:rest-client
rubygems:retriable,MIT,https://rubygems.org/gems/rubygems:retriable
rubygems:ruby-progressbar,MIT,https://rubygems.org/gems/rubygems:ruby-progressbar
rubygems:ruby2_keywords,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/rubygems:ruby2_keywords
rubygems:rubyzip,BSD-2-Clause OR Ruby,https://rubygems.org/gems/rubygems:rubyzip
rubygems:sanitize,MIT,https://rubygems.org/gems/rubygems:sanitize
rubygems:slop,MIT,https://rubygems.org/gems/rubygems:slop
rubygems:toml,MIT,https://rubygems.org/gems/rubygems:toml
rubygems:tzinfo,MIT,https://rubygems.org/gems/rubygems:tzinfo
rubygems:uber,MIT,https://rubygems.org/gems/rubygems:uber
rubygems:websocket-extensions,Apache-2.0,https://rubygems.org/gems/rubygems:websocket-extensions
rubygems:xpath,MIT,https://rubygems.org/gems/rubygems:xpath
rubygems:builder,MIT,https://rubygems.org/gems/rubygems:builder
rubygems:erubi,MIT,https://rubygems.org/gems/rubygems:erubi
rubygems:image_processing,MIT,https://rubygems.org/gems/rubygems:image_processing
rubygems:mini_magick,MIT,https://rubygems.org/gems/rubygems:mini_magick
rubygems:net-sftp,MIT,https://rubygems.org/gems/rubygems:net-sftp
rubygems:raabro,MIT,https://rubygems.org/gems/rubygems:raabro
rubygems:sprockets-rails,MIT,https://rubygems.org/gems/rubygems:sprockets-rails
rubygems:timecop,MIT,https://rubygems.org/gems/rubygems:timecop
rubygems:pry,MIT,https://rubygems.org/gems/rubygems:pry
rubygems:jquery-rails,MIT,https://rubygems.org/gems/rubygems:jquery-rails
rubygems:rack-test,MIT,https://rubygems.org/gems/rubygems:rack-test
rubygems:sassc,MIT,https://rubygems.org/gems/rubygems:sassc
rubygems:sprockets,MIT,https://rubygems.org/gems/rubygems:sprockets
rubygems:webrick,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/rubygems:webrick
rubygems:chronic,MIT,https://rubygems.org/gems/rubygems:chronic
rubygems:faker,MIT,https://rubygems.org/gems/rubygems:faker
rubygems:pry-rails,MIT,https://rubygems.org/gems/rubygems:pry-rails
rubygems:sass-rails,MIT,https://rubygems.org/gems/rubygems:sass-rails
rubygems:sassc-rails,MIT,https://rubygems.org/gems/rubygems:sassc-rails
rubygems:date,Ruby OR BSD-2-Clause,https://rubygems.org/gems/rubygems:date
rubygems:ffi,BSD-3-Clause,https://rubygems.org/gems/rubygems:ffi
rubygems:globalid,MIT,https://rubygems.org/gems/rubygems:globalid
