Package Name,License,URL
byebug,BSD-2-Clause,https://rubygems.org/gems/byebug
rails-controller-testing,MIT,https://rubygems.org/gems/rails-controller-testing
ast,MIT,https://rubygems.org/gems/ast
cliver,MIT,https://rubygems.org/gems/cliver
coderay,MIT,https://rubygems.org/gems/coderay
crass,MIT,https://rubygems.org/gems/crass
declarative,MIT,https://rubygems.org/gems/declarative
dogapi,BSD-3-Clause,https://rubygems.org/gems/dogapi
faraday,MIT,https://rubygems.org/gems/faraday
hashie,MIT,https://rubygems.org/gems/hashie
http-accept,MIT,https://rubygems.org/gems/http-accept
http-cookie,MIT,https://rubygems.org/gems/http-cookie
httparty,MIT,https://rubygems.org/gems/httparty
httpclient,Ruby,https://rubygems.org/gems/httpclient
mail,MIT,https://rubygems.org/gems/mail
matrix,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/matrix
memoist,MIT,https://rubygems.org/gems/memoist
multi_json,MIT,https://rubygems.org/gems/multi_json
multi_xml,MIT,https://rubygems.org/gems/multi_xml
mustermann,MIT,https://rubygems.org/gems/mustermann
net-pop,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/net-pop
netrc,MIT,https://rubygems.org/gems/netrc
parslet,MIT,https://rubygems.org/gems/parslet
promise.rb,Unlicense,https://rubygems.org/gems/promise.rb
rails-dom-testing,MIT,https://rubygems.org/gems/rails-dom-testing
rails-html-sanitizer,MIT,https://rubygems.org/gems/rails-html-sanitizer
rainbow,MIT,https://rubygems.org/gems/rainbow
redcarpet,MIT,https://rubygems.org/gems/redcarpet
rest-client,MIT,https://rubygems.org/gems/rest-client
retriable,MIT,https://rubygems.org/gems/retriable
ruby-progressbar,MIT,https://rubygems.org/gems/ruby-progressbar
ruby2_keywords,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/ruby2_keywords
rubyzip,BSD-2-Clause OR Ruby,https://rubygems.org/gems/rubyzip
sanitize,MIT,https://rubygems.org/gems/sanitize
slop,MIT,https://rubygems.org/gems/slop
toml,MIT,https://rubygems.org/gems/toml
tzinfo,MIT,https://rubygems.org/gems/tzinfo
uber,MIT,https://rubygems.org/gems/uber
websocket-extensions,Apache-2.0,https://rubygems.org/gems/websocket-extensions
xpath,MIT,https://rubygems.org/gems/xpath
builder,MIT,https://rubygems.org/gems/builder
erubi,MIT,https://rubygems.org/gems/erubi
image_processing,MIT,https://rubygems.org/gems/image_processing
mini_magick,MIT,https://rubygems.org/gems/mini_magick
net-sftp,MIT,https://rubygems.org/gems/net-sftp
raabro,MIT,https://rubygems.org/gems/raabro
sprockets-rails,MIT,https://rubygems.org/gems/sprockets-rails
timecop,MIT,https://rubygems.org/gems/timecop
pry,MIT,https://rubygems.org/gems/pry
jquery-rails,MIT,https://rubygems.org/gems/jquery-rails
rack-test,MIT,https://rubygems.org/gems/rack-test
sassc,MIT,https://rubygems.org/gems/sassc
sprockets,MIT,https://rubygems.org/gems/sprockets
webrick,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/webrick
chronic,MIT,https://rubygems.org/gems/chronic
faker,MIT,https://rubygems.org/gems/faker
pry-rails,MIT,https://rubygems.org/gems/pry-rails
sass-rails,MIT,https://rubygems.org/gems/sass-rails
sassc-rails,MIT,https://rubygems.org/gems/sassc-rails
date,Ruby OR BSD-2-Clause,https://rubygems.org/gems/date
ffi,BSD-3-Clause,https://rubygems.org/gems/ffi
globalid,MIT,https://rubygems.org/gems/globalid
mini_mime,MIT,https://rubygems.org/gems/mini_mime
msgpack,Apache-2.0,https://rubygems.org/gems/msgpack
net-protocol,BSD-2-Clause OR (BSD-2-Clause AND Ruby),https://rubygems.org/gems/net-protocol
tilt,MIT,https://rubygems.org/gems/tilt
timeout,Ruby OR BSD-2-Clause,https://rubygems.org/gems/timeout
websocket-driver,Apache-2.0,https://rubygems.org/gems/websocket-driver
dogstatsd-ruby,MIT,https://rubygems.org/gems/dogstatsd-ruby
erubis,MIT,https://rubygems.org/gems/erubis
faraday-multipart,MIT,https://rubygems.org/gems/faraday-multipart
browser,MIT,https://rubygems.org/gems/browser
loofah,MIT,https://rubygems.org/gems/loofah
orm_adapter,MIT,https://rubygems.org/gems/orm_adapter
os,MIT,https://rubygems.org/gems/os
rack-attack,MIT,https://rubygems.org/gems/rack-attack
redis-namespace,MIT,https://rubygems.org/gems/redis-namespace
representable,MIT,https://rubygems.org/gems/representable
rufus-scheduler,MIT,https://rubygems.org/gems/rufus-scheduler
trailblazer-option,MIT,https://rubygems.org/gems/trailblazer-option
warden,MIT,https://rubygems.org/gems/warden
base64,Ruby OR BSD-2-Clause,https://rubygems.org/gems/base64
google-cloud-env,Apache-2.0,https://rubygems.org/gems/google-cloud-env
mini_portile2,MIT,https://rubygems.org/gems/mini_portile2
terminal-table,MIT,https://rubygems.org/gems/terminal-table
responders,MIT,https://rubygems.org/gems/responders
capybara,MIT,https://rubygems.org/gems/capybara
coffee-script,MIT,https://rubygems.org/gems/coffee-script
coffee-script-source,MIT,https://rubygems.org/gems/coffee-script-source
formatador,MIT,https://rubygems.org/gems/formatador
